itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:168487,Zin'anthid,200,600,257799,Hernnyone,Nuzia,1569267093,Auction
i:152509,Siren's Pollen,25,25,36600,Stesh,Nuzia,1569267105,Auction
i:152509,Siren's Pollen,47,47,36399,Hernnyone,Nuzia,1569267109,Auction
i:152509,Siren's Pollen,100,100,40099,Délio,Nuzia,1569267112,Auction
i:152505,Riverbud,200,200,41000,Lécky,Nuzia,1569267124,Auction
i:152505,Riverbud,200,200,41199,Ðestroÿer,Nuzia,1569267126,Auction
i:168313,Baked Port Tato,5,25,498999,Pouquinho,Nuzia,1569267357,Auction
i:152508,Winter's Kiss,176,176,23799,Förseti,Nuzia,1569354814,Auction
i:152508,Winter's Kiss,20,20,20000,Kaliush,Nuzia,1569354816,Auction
i:152508,Winter's Kiss,50,50,38030,Délio,Nuzia,1569354819,Auction
i:168487,Zin'anthid,200,400,249900,Spaceforce,Nuzia,1569354826,Auction
i:158186,Distilled Water,200,1600,10,Merchant,Nuzia,1569416410,Vendor
i:39354,Light Parchment,1,1,2,Merchant,Nuzia,1569416417,Vendor
i:39354,Light Parchment,10,10,2,Merchant,Nuzia,1569416421,Vendor
i:3371,Crystal Vial,41,41,6,Merchant,Nuzia,1569416427,Vendor
i:3371,Crystal Vial,200,400,6,Merchant,Nuzia,1569416434,Vendor
i:3371,Crystal Vial,20,20,6,Merchant,Nuzia,1569416434,Vendor
i:3371,Crystal Vial,100,100,6,Merchant,Nuzia,1569416438,Vendor
i:152511,Sea Stalk,176,176,24178,Maguinbolado,Nuzia,1569474355,Auction
i:168487,Zin'anthid,200,400,270000,Widow,Nuzia,1569474365,Auction
i:168487,Zin'anthid,200,200,262500,Widow,Nuzia,1569474367,Auction
i:168487,Zin'anthid,54,54,199999,Maguinbolado,Nuzia,1569474373,Auction
i:152505,Riverbud,200,200,34000,Luaneth,Nuzia,1569764367,Auction
i:152505,Riverbud,100,800,39599,Délio,Nuzia,1569764369,Auction
i:152508,Winter's Kiss,27,27,30225,Akumaz,Nuzia,1569764387,Auction
i:152508,Winter's Kiss,22,22,31800,Yûkì,Nuzia,1569764388,Auction
i:152508,Winter's Kiss,25,25,32800,Alevikya,Nuzia,1569764390,Auction
i:152509,Siren's Pollen,200,200,32600,Luaneth,Nuzia,1569764399,Auction
i:152509,Siren's Pollen,100,100,32800,Viperousdoom,Nuzia,1569764401,Auction
i:152509,Siren's Pollen,100,600,33798,Délio,Nuzia,1569764403,Auction
i:152509,Siren's Pollen,20,60,33799,Magnozera,Nuzia,1569764414,Auction
i:152509,Siren's Pollen,20,80,33800,Izidrus,Nuzia,1569764418,Auction
i:168487,Zin'anthid,100,600,222000,Eduarxd,Nuzia,1569764430,Auction
i:159787,Enchant Weapon - Masterful Navigation,1,2,6709990,Altwariiorr,Nuzia,1569859020,Auction
i:159787,Enchant Weapon - Masterful Navigation,1,1,6709991,Elorys,Nuzia,1569859023,Auction
i:168313,Baked Port Tato,1,10,449999,Varthirias,Creacher,1569859968,Auction
i:168313,Baked Port Tato,20,20,450000,Márciä,Creacher,1569859981,Auction
i:152507,Akunda's Bite,10,20,35400,Cruelsan,Nuzia,1569941856,Auction
i:152507,Akunda's Bite,7,7,35599,Redtaurus,Nuzia,1569941858,Auction
i:152507,Akunda's Bite,14,14,36800,Përtaci,Nuzia,1569941861,Auction
i:152508,Winter's Kiss,200,400,42200,Budør,Nuzia,1569941871,Auction
i:152508,Winter's Kiss,162,162,41600,Neikpriest,Nuzia,1569941878,Auction
i:152510,Anchor Weed,200,200,899000,Oshana,Nuzia,1569941892,Auction
i:152510,Anchor Weed,10,10,800000,Fapac,Nuzia,1569941894,Auction
i:168487,Zin'anthid,82,82,229498,Davicitoo,Nuzia,1569941904,Auction
i:152505,Riverbud,100,500,33799,Délio,Nuzia,1569941853,Auction
i:152507,Akunda's Bite,113,113,36400,Zumé,Nuzia,1569941869,Auction
i:168652,Greater Flask of Endless Fathoms,1,4,4907500,Miar,Nuzia,1569942012,Auction
i:168487,Zin'anthid,200,200,213500,Spaceforce,Nuzia,1570029627,Auction
i:152510,Anchor Weed,108,108,619999,Abumine,Nuzia,1570029637,Auction
i:152505,Riverbud,156,156,30296,Alokhen,Nuzia,1570203330,Auction
i:152505,Riverbud,50,50,30000,Eruom,Nuzia,1570203332,Auction
i:152506,Star Moss,133,133,38800,Neikpriest,Nuzia,1570203342,Auction
i:152506,Star Moss,20,60,38600,Mimosita,Nuzia,1570203345,Auction
i:152506,Star Moss,100,300,39000,Likeweed,Nuzia,1570203352,Auction
i:152507,Akunda's Bite,200,400,40798,Maagda,Nuzia,1570203368,Auction
i:152507,Akunda's Bite,20,180,40000,Mimosita,Nuzia,1570203383,Auction
i:152507,Akunda's Bite,37,37,39800,Blindkz,Nuzia,1570203393,Auction
i:152508,Winter's Kiss,93,93,26600,Blindkz,Nuzia,1570203402,Auction
i:152509,Siren's Pollen,164,164,43400,Blindkz,Nuzia,1570203414,Auction
i:152510,Anchor Weed,200,200,648000,Blindkz,Nuzia,1570203425,Auction
i:152510,Anchor Weed,166,166,648000,Blindkz,Nuzia,1570203429,Auction
i:168487,Zin'anthid,200,400,180799,Zyaah,Nuzia,1570203442,Auction
i:168487,Zin'anthid,100,100,211000,Oliverxd,Nuzia,1570203445,Auction
i:152511,Sea Stalk,106,106,47000,Grøll,Nuzia,1570203616,Auction
i:152511,Sea Stalk,200,1400,60000,Blackwïdøw,Nuzia,1570203621,Auction
i:168313,Baked Port Tato,20,20,448575,Behetonto,Nuzia,1570298681,Auction
i:159786,Enchant Weapon - Quick Navigation,1,4,4855982,Altwariiorr,Nuzia,1570463662,Auction
i:152506,Star Moss,8,8,44675,Noctorune,Nuzia,1570546646,Auction
i:152506,Star Moss,1,1,44675,Noctorune,Nuzia,1570546648,Auction
i:152506,Star Moss,1,6,51100,Zillakami,Nuzia,1570546652,Auction
i:152509,Siren's Pollen,100,100,32598,Délio,Nuzia,1570546680,Auction
i:152509,Siren's Pollen,51,51,32599,Manimall,Nuzia,1570546682,Auction
i:152509,Siren's Pollen,10,30,32600,Cruelsan,Nuzia,1570546684,Auction
i:152509,Siren's Pollen,10,280,32798,Vakca,Nuzia,1570546687,Auction
i:152509,Siren's Pollen,20,60,32799,Davyel,Nuzia,1570546706,Auction
i:152509,Siren's Pollen,10,10,32800,Zillakami,Nuzia,1570546708,Auction
i:152509,Siren's Pollen,20,60,32800,Zillakami,Nuzia,1570546709,Auction
i:168487,Zin'anthid,200,200,193399,Widow,Nuzia,1570546721,Auction
i:168487,Zin'anthid,100,100,194300,Spaceforce,Nuzia,1570546729,Auction
i:152505,Riverbud,200,200,36650,Frôzinha,Nuzia,1570546615,Auction
i:152505,Riverbud,130,130,36799,Cernunooss,Nuzia,1570546622,Auction
i:152505,Riverbud,100,100,36698,Délio,Nuzia,1570546624,Auction
i:152506,Star Moss,5,15,44673,Davyel,Nuzia,1570546637,Auction
i:152506,Star Moss,10,10,44675,Noctorune,Nuzia,1570546641,Auction
i:152506,Star Moss,20,20,51200,Zillakami,Nuzia,1570546650,Auction
i:152506,Star Moss,3,3,44671,Manimall,Nuzia,1570546655,Auction
i:152506,Star Moss,6,6,44672,Vakca,Nuzia,1570546657,Auction
i:152506,Star Moss,1,3,44673,Davyel,Nuzia,1570546659,Auction
i:152506,Star Moss,5,5,44675,Noctorune,Nuzia,1570546664,Auction
i:160544,?,1,1,6250000,Merchant,Nuzia,1570629354,Vendor
i:152510,Anchor Weed,10,240,641999,Vakca,Nuzia,1570905334,Auction
i:152510,Anchor Weed,25,175,642510,Feydre,Nuzia,1570905362,Auction
i:152511,Sea Stalk,10,160,42400,Battraquio,Nuzia,1570905377,Auction
i:152511,Sea Stalk,7,7,42400,Battraquio,Nuzia,1570905386,Auction
i:152511,Sea Stalk,13,13,44998,Subetrayer,Nuzia,1570905387,Auction
i:152511,Sea Stalk,10,10,44999,Bondle,Nuzia,1570905389,Auction
i:152511,Sea Stalk,10,10,45000,Levyathann,Nuzia,1570905390,Auction
i:168487,Zin'anthid,200,200,112499,Widow,Nuzia,1570905397,Auction
i:152505,Riverbud,10,890,34398,Vakca,Nuzia,1570905293,Auction
i:152509,Siren's Pollen,20,60,46666,Battraquio,Nuzia,1570905346,Auction
i:152507,Akunda's Bite,164,164,146402,Lacaiomortal,Nuzia,1570905551,Auction
i:152508,Winter's Kiss,200,400,43777,Munding,Nuzia,1570905556,Auction
i:152506,Star Moss,10,80,49700,Battraquio,Nuzia,1570905775,Auction
i:152506,Star Moss,15,15,49699,Ÿu,Nuzia,1570905783,Auction
i:168487,Zin'anthid,38,38,112498,Ÿu,Nuzia,1570905797,Auction
i:168487,Zin'anthid,200,400,112497,Widow,Nuzia,1570905798,Auction
i:168303,Rubbery Flank,15,15,156500,Nevøm,Nuzia,1571004243,Auction
i:168303,Rubbery Flank,4,4,156816,Artherex,Nuzia,1571004244,Auction
i:168303,Rubbery Flank,2,2,158400,Määteus,Nuzia,1571004246,Auction
i:168303,Rubbery Flank,1,10,160000,Derossi,Nuzia,1571004248,Auction
i:168303,Rubbery Flank,1,1,178570,Mikalatëia,Nuzia,1571004256,Auction
i:168303,Rubbery Flank,3,6,178570,Mikalatëia,Nuzia,1571004260,Auction
i:168303,Rubbery Flank,28,28,178571,Alldëbaran,Nuzia,1571004262,Auction
i:168303,Rubbery Flank,5,5,259500,Zillakami,Nuzia,1571004264,Auction
i:168303,Rubbery Flank,62,62,279000,Jiimmy,Nuzia,1571004266,Auction
i:168303,Rubbery Flank,20,20,280000,Yogsothöth,Nuzia,1571004267,Auction
i:168303,Rubbery Flank,5,5,282000,Yamiyumi,Nuzia,1571004268,Auction
i:168303,Rubbery Flank,13,13,282800,Bredi,Nuzia,1571004270,Auction
i:168303,Rubbery Flank,20,100,282800,Calï,Nuzia,1571004272,Auction
i:168303,Rubbery Flank,8,8,282999,Ullwarth,Nuzia,1571004276,Auction
i:168303,Rubbery Flank,36,36,283000,Blinkeii,Nuzia,1571004279,Auction
i:168303,Rubbery Flank,2,10,283900,Doidovarrido,Nuzia,1571004280,Auction
i:168303,Rubbery Flank,9,9,284000,Drleo,Nuzia,1571004292,Auction
i:168303,Rubbery Flank,22,22,285000,Greiscou,Nuzia,1571004299,Auction
i:152548,Tiragarde Perch,4,4,90800,Nighttroll,Nuzia,1571004436,Auction
i:152548,Tiragarde Perch,11,11,127998,Cernunooss,Nuzia,1571004440,Auction
i:152548,Tiragarde Perch,1,1,91000,Hottsuma,Nuzia,1571004446,Auction
i:152544,Slimy Mackerel,20,100,109040,Yacno,Nuzia,1571004455,Auction
i:152544,Slimy Mackerel,24,24,111894,Loyans,Nuzia,1571004460,Auction
i:152544,Slimy Mackerel,39,39,113500,Tenøriio,Nuzia,1571004463,Auction
i:152544,Slimy Mackerel,15,15,114099,Cernunooss,Nuzia,1571004464,Auction
i:152544,Slimy Mackerel,5,5,108500,Bolascam,Nuzia,1571004471,Auction
i:152544,Slimy Mackerel,7,7,109040,Yacno,Nuzia,1571004474,Auction
i:152544,Slimy Mackerel,4,4,110000,Azeraphael,Nuzia,1571004476,Auction
i:168652,Greater Flask of Endless Fathoms,5,5,3784999,Luriak,Nuzia,1571004933,Auction
i:154891,Seasoned Loins,20,20,29200,Saittao,Nuzia,1571073960,Auction
i:152510,Anchor Weed,50,100,676999,Eak,Nuzia,1571095784,Auction
i:152510,Anchor Weed,25,50,676999,Eak,Nuzia,1571095789,Auction
i:152509,Siren's Pollen,20,20,41200,Camic,Nuzia,1571095799,Auction
i:152509,Siren's Pollen,5,5,41400,Xïron,Nuzia,1571095800,Auction
i:152509,Siren's Pollen,16,16,42471,Pümpkin,Nuzia,1571095801,Auction
i:152509,Siren's Pollen,15,15,45600,Stagazer,Nuzia,1571095802,Auction
i:152509,Siren's Pollen,3,3,42900,Lobaomonge,Nuzia,1571095803,Auction
i:152509,Siren's Pollen,17,17,45800,Samanuske,Nuzia,1571095804,Auction
i:152509,Siren's Pollen,7,7,46000,Zillakami,Nuzia,1571095806,Auction
i:152509,Siren's Pollen,10,50,46132,Uboi,Nuzia,1571095808,Auction
i:152505,Riverbud,14,14,37400,Camic,Nuzia,1571095821,Auction
i:152505,Riverbud,1,5,37600,Fellstorm,Nuzia,1571095823,Auction
i:152505,Riverbud,18,18,46400,Tinzo,Nuzia,1571095830,Auction
i:152505,Riverbud,25,25,46600,Wi,Nuzia,1571095832,Auction
i:152505,Riverbud,1,1,46800,Drainiac,Nuzia,1571095832,Auction
i:152505,Riverbud,5,25,47000,Zebuint,Nuzia,1571095834,Auction
i:152505,Riverbud,2,2,47040,Punkhunter,Nuzia,1571095836,Auction
i:152505,Riverbud,4,4,48200,Marcb,Nuzia,1571095838,Auction
i:152505,Riverbud,119,119,48599,Abumine,Nuzia,1571095840,Auction
i:152505,Riverbud,3,3,48800,Xïron,Nuzia,1571095840,Auction
i:152505,Riverbud,50,50,48906,Zecavòódòó,Nuzia,1571095842,Auction
i:152505,Riverbud,15,15,49400,Arcadíe,Nuzia,1571095842,Auction
i:152505,Riverbud,200,200,49500,Mishard,Nuzia,1571095845,Auction
i:152506,Star Moss,20,60,71000,Rabiossa,Nuzia,1571095858,Auction
i:168487,Zin'anthid,200,2000,118499,Seuterro,Nuzia,1571095887,Auction
i:3371,Crystal Vial,200,1000,6,Merchant,Nuzia,1571099487,Vendor
i:152510,Anchor Weed,60,120,669900,Sekïro,Nuzia,1571095772,Auction
i:152510,Anchor Weed,13,13,670000,Camic,Nuzia,1571095777,Auction
i:152510,Anchor Weed,29,29,675000,Ashûrä,Nuzia,1571095779,Auction
i:152510,Anchor Weed,127,127,676000,Tenøriio,Nuzia,1571095785,Auction
i:152505,Riverbud,10,390,49499,Vakca,Nuzia,1571106270,Auction
i:152506,Star Moss,138,138,71497,Aunor,Nuzia,1571106297,Auction
i:152509,Siren's Pollen,32,32,49800,Bukovina,Nuzia,1571106306,Auction
i:152509,Siren's Pollen,35,35,50000,Jezuix,Nuzia,1571106307,Auction
i:152509,Siren's Pollen,42,42,50500,Dagall,Nuzia,1571106308,Auction
i:152509,Siren's Pollen,10,140,51999,Vakca,Nuzia,1571106310,Auction
i:152509,Siren's Pollen,34,34,56900,Cungelada,Nuzia,1571106324,Auction
i:168487,Zin'anthid,200,1400,168500,Kuusa,Nuzia,1571106331,Auction
i:152505,Riverbud,33,33,49200,Jezuix,Nuzia,1571106265,Auction
i:152511,Sea Stalk,163,163,41773,Aunor,Nuzia,1571106663,Auction
i:152511,Sea Stalk,10,130,41774,Vakca,Nuzia,1571106665,Auction
i:152510,Anchor Weed,10,200,632000,Raxtta,Nuzia,1571243146,Auction
i:152510,Anchor Weed,20,40,639800,Xhindi,Nuzia,1571243153,Auction
i:152511,Sea Stalk,200,200,50000,Pogchampy,Nuzia,1571243164,Auction
i:152511,Sea Stalk,20,860,78500,Izidrus,Nuzia,1571243167,Auction
i:168487,Zin'anthid,200,400,146999,Seuterro,Nuzia,1571243210,Auction
i:152507,Akunda's Bite,20,600,92500,Izidrus,Nuzia,1571243141,Auction
i:152508,Winter's Kiss,20,140,43000,Izidrus,Nuzia,1571243170,Auction
i:152507,Akunda's Bite,102,102,89000,Marcb,Nuzia,1571243110,Auction
i:152507,Akunda's Bite,159,159,92000,Roguera,Nuzia,1571243112,Auction
i:168313,Baked Port Tato,20,20,479000,Offlineoo,Nuzia,1571423591,Auction
i:168652,Greater Flask of Endless Fathoms,1,1,3410000,Luarnegro,Creacher,1571503059,Auction
i:168313,Baked Port Tato,5,5,447600,Wedjat,Creacher,1571503098,Auction
i:168303,Rubbery Flank,144,144,309000,Æliny,Nuzia,1571530759,Auction
i:168303,Rubbery Flank,20,80,311000,Danasio,Nuzia,1571530764,Auction
