itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:109693,Draenic Dust,16,16,6930,Drtrinity,Creacher,1548948236,Auction
i:140560,?,1,1,250000,Merchant,Robso,1548966445,Vendor
i:128304,Yseralline Seed,100,200,36004,Estáile,Creacher,1548957241,Auction
i:765,Silverleaf,4,4,94430,Estáile,Creacher,1548957293,Auction
i:72092,Ghost Iron Ore,5,5,64980,Karolash,Creacher,1548962982,Auction
i:124118,Fatty Bearsteak,54,54,15485,Gorbiz,Creacher,1548967471,Auction
i:127037,Runic Catgut,81,81,1250,Merchant,Creacher,1548971685,Vendor
i:14341,Rune Thread,30,30,1250,Merchant,Creacher,1548971687,Vendor
i:124104,Fjarnskaggl,100,200,93955,Gorbiz,Creacher,1548968973,Auction
i:2770,Copper Ore,5,5,47404,Malito,Creacher,1548969163,Auction
i:124106,Felwort,27,27,2277530,Jiwomba,Creacher,1548969991,Auction
p:119,Father Winter's Helper,1,1,96330,Omegalul,Creacher,1548972627,Auction
i:128304,Yseralline Seed,100,100,30685,Lheaf,Creacher,1548976480,Auction
i:128304,Yseralline Seed,5,5,30685,Lheaf,Creacher,1548976482,Auction
i:124102,Dreamleaf,20,20,142405,Ipostglyphsx,Creacher,1548977631,Auction
i:3371,Crystal Vial,1,1,5,Merchant,Robso,1548984784,Vendor
i:138967,Big Fountain Goldfish,16,16,62,Merchant,Robso,1548987448,Vendor
i:43572,Magic Eater,1,1,62,Merchant,Robso,1548987455,Vendor
i:124107,Cursed Queenfish,1,1,625,Merchant,Robso,1548987469,Vendor
i:133607,Silver Mackerel,10,10,105,Merchant,Robso,1548987488,Vendor
i:156930,Rich Illusion Dust,4,4,283841,Luresh,Creacher,1548983190,Auction
i:785,Mageroyal,3,3,19855,Ahern,Creacher,1548983914,Auction
i:785,Mageroyal,11,11,23818,Ahern,Creacher,1548983917,Auction
i:2449,Earthroot,23,23,142405,Ahern,Creacher,1548983999,Auction
i:124437,Shal'dorei Silk,21,21,23085,Destruidoru,Creacher,1548996062,Auction
i:140560,?,1,1,250000,Merchant,Robso,1549003908,Vendor
i:72988,Windwool Cloth,3,3,4940,Heimdallrr,Creacher,1548999626,Auction
i:154722,Tempest Hide,200,400,8550,Joãoninha,Creacher,1549004280,Auction
i:152877,Veiled Crystal,1,1,3453250,Machli,Creacher,1549014457,Auction
i:154722,Tempest Hide,200,200,8550,Eoldor,Creacher,1549020650,Auction
i:154722,Tempest Hide,100,100,8550,Eoldor,Creacher,1549020653,Auction
i:153439,Enchant Ring - Seal of Haste,1,1,433200,Erí,Creacher,1549026184,Auction
i:33470,Frostweave Cloth,100,300,4275,Semnomme,Creacher,1549026421,Auction
i:133593,Royal Olive,22,22,1250,Merchant,Creacher,1549030357,Vendor
i:12184,Raptor Flesh,2,2,87,Merchant,Creacher,1549030381,Vendor
i:153439,Enchant Ring - Seal of Haste,1,1,433200,Lgv,Creacher,1549028898,Auction
i:152512,Monelite Ore,65,65,169954,Angi,Creacher,1549030279,Auction
i:74247,Ethereal Shard,4,4,14155,Äuctioneer,Creacher,1549032908,Auction
i:124444,Infernal Brimstone,15,15,877708,Äuctioneer,Creacher,1549033422,Auction
i:124119,Big Gamy Ribs,9,9,7212,Fynah,Creacher,1549035685,Auction
i:159464,Enchant Gloves - Zandalari Herbalism,1,2,617499,Hallazi,Creacher,1549036445,Auction
i:159464,Enchant Gloves - Zandalari Herbalism,1,2,617499,Helieia,Creacher,1549036518,Auction
i:159464,Enchant Gloves - Zandalari Herbalism,1,1,617499,Yoruch,Creacher,1549037262,Auction
i:153051,Mistscale,50,50,237499,Deathheal,Creacher,1549038875,Auction
i:152876,Umbra Shard,50,50,1888124,Linfócito,Creacher,1549049281,Auction
i:113588,Temporal Crystal,2,2,251913,Linfócito,Creacher,1549049335,Auction
i:154722,Tempest Hide,100,100,8550,Jetbow,Creacher,1549052319,Auction
i:154165,Calcified Bone,200,200,27501,Sjerkz,Creacher,1549063205,Auction
i:154165,Calcified Bone,150,150,35624,Míthy,Creacher,1549074543,Auction
p:1623,Leviathan Hatchling,1,1,367627,Rïick,Creacher,1549085770,Auction
i:153050,Shimmerscale,120,120,66547,Brovalho,Creacher,1549095748,Auction
i:154722,Tempest Hide,200,400,15200,Krammash,Creacher,1549095753,Auction
i:152876,Umbra Shard,5,5,1709999,Kveldulf,Creacher,1549104656,Auction
i:124102,Dreamleaf,20,20,135374,Tolkah,Creacher,1549108802,Auction
i:2452,Swiftthistle,30,30,46549,Oldmake,Creacher,1549108903,Auction
i:154165,Calcified Bone,200,400,23749,Psychøø,Creacher,1549113788,Auction
i:160711,Aromatic Fish Oil,50,50,63269,Forsenthree,Creacher,1549118142,Auction
i:153439,Enchant Ring - Seal of Haste,1,1,433200,Avey,Creacher,1549119392,Auction
i:153051,Mistscale,50,50,23939,Gelebank,Creacher,1549119774,Auction
i:154881,Kul Tiramisu,5,10,45409,Snowgød,Creacher,1549120730,Auction
i:124440,Arkhana,70,70,44649,Twoefx,Creacher,1549124190,Auction
i:123918,Leystone Ore,50,50,85585,Pokoh,Creacher,1549126601,Auction
p:2201:1:3,?,1,1,6650000,Batluzzaktok,Creacher,1549129238,Auction
i:152512,Monelite Ore,200,200,180498,Pézudo,Creacher,1549131907,Auction
i:154881,Kul Tiramisu,15,15,45409,Tarfonir,Creacher,1549132064,Auction
i:154164,Blood-Stained Bone,15,15,37809,Fynah,Creacher,1549134150,Auction
i:124442,Chaos Crystal,30,30,275498,Edraur,Creacher,1549135127,Auction
i:153441,Enchant Ring - Seal of Versatility,1,1,847399,Zãcxeed,Creacher,1549138126,Auction
i:160711,Aromatic Fish Oil,50,50,62699,Hallz,Creacher,1549139596,Auction
i:108996,Alchemical Catalyst,20,20,36289,Sheldorlöök,Creacher,1549141092,Auction
i:160711,Aromatic Fish Oil,50,150,62699,Lupite,Creacher,1549142384,Auction
i:133607,Silver Mackerel,50,50,1387,Talaiü,Creacher,1549157431,Auction
i:124103,Foxflower,100,100,120649,Stelä,Creacher,1549157583,Auction
i:109119,True Iron Ore,10,10,33107,Pepitabaliad,Creacher,1549162043,Auction
i:124441,Leylight Shard,10,10,147272,Madammesatan,Creacher,1549200583,Auction
i:124441,Leylight Shard,9,9,151049,Madammesatan,Creacher,1549200594,Auction
i:154885,Mon'Dazi,5,10,30400,Fítti,Creacher,1549211005,Auction
i:154885,Mon'Dazi,5,15,30400,Pk,Creacher,1549211947,Auction
i:154885,Mon'Dazi,5,10,30400,Qof,Creacher,1549213156,Auction
i:154881,Kul Tiramisu,5,15,180499,Mmaededeus,Creacher,1549221662,Auction
i:154887,Loa Loaf,5,5,46928,Moosemorph,Creacher,1549221893,Auction
i:124105,Starlight Rose,100,100,251749,Zabarak,Creacher,1549226121,Auction
i:154165,Calcified Bone,200,400,14249,Psychøø,Creacher,1549228640,Auction
i:153440,Enchant Ring - Seal of Mastery,1,1,328234,Deko,Creacher,1549229011,Auction
i:152510,Anchor Weed,5,5,484499,Prethorians,Creacher,1549229766,Auction
i:153441,Enchant Ring - Seal of Versatility,1,1,833150,Jiwei,Creacher,1549230329,Auction
i:153438,Enchant Ring - Seal of Critical Strike,1,2,170525,Salïim,Creacher,1549232289,Auction
i:153438,Enchant Ring - Seal of Critical Strike,1,2,170525,Trickaz,Creacher,1549233601,Auction
i:162515,Midnight Salmon,1,1,169575,Mhayn,Creacher,1549233634,Auction
i:153050,Shimmerscale,200,200,66499,Makush,Creacher,1549235101,Auction
i:153439,Enchant Ring - Seal of Haste,5,5,464549,Aurt,Creacher,1549237712,Auction
i:152542,Hardened Tempest Hide,100,100,10607,Bellab,Creacher,1549239574,Auction
i:159467,Enchant Gloves - Zandalari Skinning,1,1,160073,Abbadön,Creacher,1549241701,Auction
i:153051,Mistscale,10,10,208999,Battant,Creacher,1549241740,Auction
i:2675,Crawler Claw,1,1,11,Merchant,Robso,1549249101,Vendor
i:19300,Bottled Winterspring Water,12,12,100,Merchant,Robso,1549249105,Vendor
i:44941,Fresh-Squeezed Limeade,4,4,425,Merchant,Robso,1549249105,Vendor
i:19305,Pickled Kodo Foot,6,6,25,Merchant,Robso,1549249105,Vendor
i:19222,Cheap Beer,4,4,2,Merchant,Robso,1549249106,Vendor
i:124671,Darkmoon Firewater,4,4,62,Merchant,Robso,1549249107,Vendor
i:92967,?,1,1,1,Merchant,Robso,1549249108,Vendor
i:124649,?,1,1,62,Merchant,Robso,1549249110,Vendor
i:124642,?,1,1,62,Merchant,Robso,1549249110,Vendor
i:124654,?,1,1,62,Merchant,Robso,1549249111,Vendor
i:160092,?,1,1,1000,Merchant,Robso,1549249112,Vendor
i:154165,Calcified Bone,200,200,14249,Salïm,Creacher,1549246292,Auction
i:153476,Enchant Weapon - Coastal Surge,1,1,7571499,Menarch,Creacher,1549255666,Auction
i:153441,Enchant Ring - Seal of Versatility,1,1,833150,Darkoticos,Creacher,1549257096,Auction
i:128304,Yseralline Seed,30,30,26408,Puxameudedo,Creacher,1549264603,Auction
i:124103,Foxflower,50,50,94999,Puxameudedo,Creacher,1549264975,Auction
i:154881,Kul Tiramisu,10,50,227997,Surfista,Creacher,1549265324,Auction
i:154881,Kul Tiramisu,5,5,227997,Surfista,Creacher,1549265343,Auction
i:124109,Highmountain Salmon,40,40,41705,Adcxd,Creacher,1549265380,Auction
i:152877,Veiled Crystal,5,5,3842749,Liindha,Creacher,1549265449,Auction
i:152875,Gloom Dust,100,100,68399,Liindha,Creacher,1549269719,Auction
i:152875,Gloom Dust,50,50,86447,Liindha,Creacher,1549269794,Auction
i:159467,Enchant Gloves - Zandalari Skinning,1,1,160073,Gabsx,Creacher,1549270080,Auction
i:152511,Sea Stalk,200,200,230849,Bino,Creacher,1549272754,Auction
i:154881,Kul Tiramisu,5,15,227997,Bodziin,Creacher,1549276546,Auction
i:154889,Grilled Catfish,15,15,34959,Gorbiz,Creacher,1549284728,Auction
i:154881,Kul Tiramisu,20,20,227998,Bigwave,Creacher,1549286832,Auction
i:123919,Felslate,10,10,46232,Mirork,Creacher,1549288044,Auction
i:152506,Star Moss,200,400,113523,Teach,Creacher,1549289421,Auction
i:154881,Kul Tiramisu,20,20,227998,Ferozan,Creacher,1549290007,Auction
i:152577,Deep Sea Satin,1,1,466487,Dyemille,Creacher,1549290049,Auction
i:153476,Enchant Weapon - Coastal Surge,1,1,7571499,Zouvovas,Creacher,1549294561,Auction
i:154881,Kul Tiramisu,20,40,227998,Hellequin,Creacher,1549296543,Auction
i:154165,Calcified Bone,12,12,9688,Äuctioneer,Creacher,1549296691,Auction
i:154165,Calcified Bone,40,80,14249,Äuctioneer,Creacher,1549296693,Auction
i:124669,Darkmoon Daggermaw,150,150,188574,Sonic,Creacher,1549298562,Auction
